signal_id,timestamp_utc,long_wick_pass,low_volume_pass,fast_poke_pass,quick_rejection_pass,overall_quality_status,review_comment
sig_a29cf78d,2025-12-14T09:18:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_54a2fdde,2025-12-14T07:25:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_c1857ed9,2025-12-14T03:53:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_d7e22dfd,2025-12-14T04:06:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_2b66d19b,2025-12-14T06:36:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_aff79e89,2025-12-14T09:22:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_fd14ecf5,2025-12-14T04:14:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_f8301a83,2025-12-14T04:15:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_658f5fce,2025-12-14T07:28:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_73c2b7ae,2025-12-14T03:57:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_0c45f2c8,2025-12-14T06:00:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_53431534,2025-12-14T04:05:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_fb8278d5,2025-12-14T09:50:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_d49bda9f,2025-12-14T07:31:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_2b208ee9,2025-12-14T07:06:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_af3f0c04,2025-12-14T09:50:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_5edf5c44,2025-12-14T03:49:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_6c0b235d,2025-12-14T07:51:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_40945981,2025-12-14T07:30:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_cb4dac93,2025-12-14T09:01:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_b64ee901,2025-12-14T07:00:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_4260093e,2025-12-14T09:01:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_e9532374,2025-12-14T04:11:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_e56caa22,2025-12-14T06:55:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_9b97af7f,2025-12-14T05:53:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_d0bd54dc,2025-12-14T07:55:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_be747ee4,2025-12-14T05:58:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_b3f81b93,2025-12-14T09:40:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_57372863,2025-12-14T04:36:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_5ec86666,2025-12-14T07:20:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_74b7e4f8,2025-12-14T07:03:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_1ee46642,2025-12-14T07:37:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_eb233dd5,2025-12-14T07:45:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_5b9175ac,2025-12-14T09:48:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_1f1ac785,2025-12-14T03:51:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_ee07e532,2025-12-14T09:07:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_780452ff,2025-12-14T09:47:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_e83cd944,2025-12-14T09:23:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_25f7c59b,2025-12-14T04:37:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_fee29f60,2025-12-14T03:51:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_63413bc0,2025-12-14T04:18:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_5762456e,2025-12-14T04:05:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_25f3c89a,2025-12-14T09:57:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_0ef7d585,2025-12-14T07:53:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_e222e0d1,2025-12-14T09:37:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_74fa11a1,2025-12-14T09:03:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_7552005b,2025-12-14T06:15:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_b6ae3182,2025-12-14T09:26:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_278741bc,2025-12-14T04:08:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
sig_0e24a7e9,2025-12-14T06:48:00Z,TRUE,TRUE,TRUE,TRUE,PASS,Auto-verified via pattern match
